mac,serial,latitude,longitude,battery_level,last_used_date,manual_geoloc,timezone,association_date
00:24:e4:d4:84:92,SN-00:24:e4:d4:84:92,34.2483,-117.189,98,1784396724,,America/Los_Angeles,2023-07-21T08:26:21+02:00
a4:7e:fa:08:b1:00,SN-a4:7e:fa:08:b1:00,33.95792,-117.3292,56,1783538559,1,America/Los_Angeles,2023-12-12T04:37:44+01:00
