type,date,value,unit,position
"Impedence 250kHz for segments","2026-06-06 11:17:20",595.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-06-06 11:17:20",750.0,,"Between Legs"
"Phase  6.25kHz segment","2026-06-06 11:17:20",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-06-06 11:17:20",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-06-06 11:17:20",-0.1,,"Between Legs"
"BIA Error","2026-06-06 11:17:20",0,
"Basal Metabolic Rate (BMR)","2026-06-06 11:17:20","1,371",
"Metabolic Age","2026-06-06 11:17:20",29,
FAT_PERCENT,"2026-06-06 11:17:20",34,
"Fat Free Percent","2026-06-06 11:17:20",66,
MUSCLE_PERCENT,"2026-06-06 11:17:20",62,
BONE_PERCENT,"2026-06-06 11:17:20",3,
WATER_PERCENT,"2026-06-06 11:17:20",44,
"PWV Reached count","2026-05-31 11:45:31","1,281",
"VA Reached count","2026-05-31 11:45:31","1,281",
FAT_FREE_MASS,"2026-05-31 11:45:31",46,
"Visceral Fat","2026-05-31 11:45:31",2.1,
"Impedence 50kHz for segments","2026-05-31 11:45:31",609.0,,"Between Legs"
"Impedence 250kHz for segments","2026-05-31 11:45:31",554.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-05-31 11:45:31",719.0,,"Between Legs"
"Phase  6.25kHz segment","2026-05-31 11:45:31",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-05-31 11:45:31",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-05-31 11:45:31",-0.1,,"Between Legs"
"BIA Error","2026-05-31 11:45:31",0,
"Basal Metabolic Rate (BMR)","2026-05-31 11:45:31","1,395",
"Metabolic Age","2026-05-31 11:45:31",28,
FAT_PERCENT,"2026-05-31 11:45:31",33,
"Fat Free Percent","2026-05-31 11:45:31",67,
MUSCLE_PERCENT,"2026-05-31 11:45:31",63,
BONE_PERCENT,"2026-05-31 11:45:31",3,
WATER_PERCENT,"2026-05-31 11:45:31",45,
"Electrodermal activity feet","2026-05-30 21:39:30",87,
"Max Nerve Response Score (NRS) feet","2026-05-30 21:39:30",87,
FAT_FREE_MASS,"2026-05-30 21:39:30",46,
"Visceral Fat","2026-05-30 21:39:30",2.1,
"Impedence 50kHz for segments","2026-05-30 21:39:30",616.0,,"Between Legs"
"Impedence 250kHz for segments","2026-05-30 21:39:30",544.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-05-30 21:39:30",721.0,,"Between Legs"
"Phase  6.25kHz segment","2026-05-30 21:39:30",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-05-30 21:39:30",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-05-30 21:39:30",-0.1,,"Between Legs"
"BIA Error","2026-05-30 21:39:30",0,
"Basal Metabolic Rate (BMR)","2026-05-30 21:39:30","1,392",
"Metabolic Age","2026-05-30 21:39:30",28,
FAT_PERCENT,"2026-05-30 21:39:30",34,
"Fat Free Percent","2026-05-30 21:39:30",66,
MUSCLE_PERCENT,"2026-05-30 21:39:30",63,
BONE_PERCENT,"2026-05-30 21:39:30",3,
WATER_PERCENT,"2026-05-30 21:39:30",44,
FAT_FREE_MASS,"2026-05-18 10:28:32",45,
"Visceral Fat","2026-05-18 10:28:32",2.2,
