start,duration,value
2024-10-06T17:04:51+02:00,[6],[1]
2024-10-06T17:04:31+02:00,[5],[1]
2024-10-06T17:03:32+02:00,[7],[1]
2024-10-06T16:57:01+02:00,"[10,10]","[1,1]"
2024-10-06T16:55:59+02:00,[13],[2]
2024-10-06T16:51:25+02:00,[8],[1]
2024-10-06T16:48:37+02:00,[9],[2]
2024-10-06T16:47:44+02:00,[9],[1]
2024-10-06T16:37:54+02:00,[6],[1]
2024-10-06T16:28:27+02:00,[8],[1]
2024-10-06T15:45:54+02:00,[7],[1]
2024-10-06T15:42:58+02:00,[9],[3]
2024-10-06T15:42:47+02:00,[5],[1]
2024-10-06T15:42:27+02:00,[5],[1]
2024-10-06T22:52:59+02:00,[9],[1]
2024-10-06T22:52:48+02:00,[8],[1]
2024-10-06T22:52:05+02:00,[10],[1]
2024-10-06T22:49:20+02:00,[14],[7]
2024-10-06T22:48:07+02:00,[14],[4]
2024-10-06T22:44:24+02:00,[13],[7]
2024-10-06T22:43:20+02:00,[5],[2]
2024-10-06T22:41:51+02:00,[6],[1]
2024-10-06T14:46:46+02:00,[13],[2]
2024-10-06T14:37:17+02:00,[11],[1]
2024-10-06T14:34:39+02:00,[8],[2]
2024-10-06T14:34:29+02:00,[5],[1]
2024-10-06T14:33:53+02:00,[5],[1]
2024-10-06T14:19:39+02:00,[9],[1]
2024-10-06T14:18:21+02:00,[6],[1]
2024-10-06T14:17:11+02:00,[8],[1]
2024-10-06T14:16:55+02:00,[5],[1]
2024-10-06T13:49:17+02:00,[6],[1]
2024-10-06T13:32:25+02:00,[8],[1]
2024-10-06T13:26:15+02:00,[7],[1]
2024-10-06T13:02:17+02:00,[5],[1]
2024-10-06T13:00:35+02:00,[6],[1]
2024-10-06T12:47:39+02:00,[9],[1]
2024-10-06T12:21:20+02:00,[9],[1]
2024-10-06T12:19:50+02:00,[6],[2]
2024-10-06T12:13:36+02:00,[9],[1]
2024-10-06T12:12:11+02:00,[8],[2]
2024-10-06T10:54:28+02:00,[6],[1]
2024-10-06T10:49:08+02:00,[8],[1]
2024-10-06T10:45:27+02:00,[14],[1]
2024-10-06T10:44:58+02:00,"[8,8]","[2,2]"
2024-10-06T10:41:41+02:00,[15],[2]
2024-10-06T10:40:17+02:00,[8],[1]
2024-10-06T10:37:17+02:00,[8],[1]
2024-10-06T10:36:44+02:00,"[9,9]","[1,1]"
2024-10-06T10:20:59+02:00,[10],[1]
2024-10-06T10:11:25+02:00,[9],[1]
2024-10-06T10:05:52+02:00,[8],[1]
2024-10-06T10:05:32+02:00,[6],[2]
2024-10-06T10:05:03+02:00,[11],[2]
2024-10-06T10:04:35+02:00,[8],[2]
2024-10-06T09:23:38+02:00,[10],[2]
2024-10-06T09:20:56+02:00,[9],[1]
2024-10-06T09:19:00+02:00,"[12,12]","[1,1]"
2024-10-06T09:18:48+02:00,[8],[2]
2024-10-06T09:17:49+02:00,"[10,10]","[2,2]"
2024-10-06T09:16:36+02:00,[7],[1]
2024-10-06T09:14:54+02:00,[8],[1]
2024-10-06T08:55:08+02:00,[6],[1]
2024-10-06T08:54:52+02:00,[9],[1]
2024-10-06T08:54:17+02:00,[11],[1]
2024-10-06T08:52:09+02:00,[8],[2]
2024-10-06T08:51:17+02:00,"[8,8]","[1,1]"
2024-10-06T08:50:50+02:00,[8],[1]
2024-10-06T08:48:53+02:00,[5],[1]
2024-10-06T08:48:14+02:00,[10],[1]
2024-10-06T08:47:37+02:00,[5],[1]
2024-10-06T08:46:27+02:00,[6],[1]
2024-10-06T08:45:01+02:00,[5],[2]
2024-10-06T08:44:33+02:00,[8],[3]
2024-10-06T08:44:02+02:00,[6],[1]
2024-10-06T07:55:00+02:00,[12],[1]
2024-10-06T07:51:50+02:00,[10],[4]
2024-10-06T07:51:29+02:00,[11],[3]
2024-10-06T07:50:27+02:00,[13],[1]
2024-10-06T07:48:04+02:00,[6],[1]
2024-10-06T06:49:13+02:00,[10],[1]
2024-10-06T06:48:54+02:00,[5],[1]
2024-10-06T06:43:53+02:00,[7],[1]
2024-10-06T06:40:46+02:00,[9],[1]
2024-10-06T06:39:14+02:00,[7],[1]
2024-10-06T05:21:43+02:00,[5],[1]
2024-10-06T05:19:12+02:00,"[8,8,8]","[0,0,0]"
2024-10-06T05:17:56+02:00,[6],[1]
2024-10-06T05:17:16+02:00,[8],[1]
2024-10-06T05:16:22+02:00,[6],[1]
2024-10-06T05:15:00+02:00,[7],[2]
2024-10-06T04:25:18+02:00,[5],[1]
2024-10-06T04:19:15+02:00,[8],[2]
2024-10-06T04:12:26+02:00,[7],[1]
2024-10-06T03:42:14+02:00,"[9,9]","[2,2]"
2024-10-06T03:41:17+02:00,[6],[1]
2024-10-06T03:38:30+02:00,[5],[2]
2024-10-06T03:32:42+02:00,[8],[1]
2024-10-06T03:29:09+02:00,[7],[1]
2024-10-06T03:18:00+02:00,[5],[1]
2024-10-06T03:12:18+02:00,"[10,10,10,10]","[2,2,2,2]"
2024-10-06T03:11:53+02:00,[7],[1]
2024-10-06T03:09:34+02:00,[5],[1]
2024-10-06T02:52:48+02:00,[11],[1]
2024-10-06T02:52:13+02:00,[7],[2]
2024-10-06T02:51:45+02:00,[8],[1]
2024-10-06T02:51:19+02:00,[14],[2]
2024-10-06T02:36:46+02:00,[6],[1]
2024-10-06T02:32:20+02:00,[13],[2]
2024-10-06T02:28:34+02:00,[6],[1]
2024-10-06T02:27:16+02:00,[8],[1]
2024-10-06T02:22:08+02:00,[7],[1]
2024-10-06T02:17:04+02:00,[12],[7]
2024-10-06T02:06:58+02:00,[7],[1]
2024-10-06T02:05:01+02:00,[5],[1]
2024-10-06T01:49:19+02:00,[8],[3]
2024-10-06T01:47:29+02:00,[9],[1]
2024-10-06T01:45:06+02:00,"[9,9,9]","[1,1,1]"
2024-10-06T01:44:34+02:00,[9],[2]
2024-10-06T01:39:36+02:00,[9],[1]
2024-10-06T01:33:41+02:00,[10],[1]
2024-10-06T01:05:37+02:00,[15],[3]
2024-10-06T01:03:43+02:00,[11],[1]
2024-10-06T01:00:40+02:00,[13],[1]
2024-10-06T00:59:11+02:00,[10],[1]
2024-10-06T00:56:14+02:00,[15],[2]
2024-10-06T00:55:19+02:00,[9],[2]
2024-10-06T00:55:09+02:00,[9],[1]
2024-10-06T00:54:48+02:00,[7],[2]
2024-10-06T00:40:24+02:00,[7],[1]
2024-10-06T00:39:31+02:00,[13],[3]
2024-10-06T00:39:19+02:00,[11],[1]
2024-10-06T00:33:29+02:00,[9],[2]
2024-10-06T00:32:09+02:00,[10],[1]
2024-10-05T23:48:27+02:00,[11],[1]
2024-10-05T23:46:41+02:00,[9],[1]
2024-10-05T23:43:37+02:00,[9],[2]
2024-10-05T23:41:28+02:00,"[9,9]","[1,1]"
2024-10-05T23:41:16+02:00,[9],[1]
2024-10-05T23:40:44+02:00,[8],[1]
2024-10-05T23:38:20+02:00,[8],[1]
2024-10-05T23:35:38+02:00,[8],[1]
2024-10-05T23:30:08+02:00,[7],[1]
2024-10-05T23:26:28+02:00,[9],[1]
2024-10-05T23:24:23+02:00,[9],[1]
2024-10-05T23:23:56+02:00,[9],[1]
2024-10-05T23:23:36+02:00,[11],[3]
2024-10-05T23:22:50+02:00,[7],[2]
2024-10-05T22:50:16+02:00,[6],[1]
2024-10-05T22:00:35+02:00,[5],[1]
2024-10-05T21:59:51+02:00,[6],[1]
2024-10-05T20:39:16+02:00,[8],[1]
2024-10-05T20:09:34+02:00,[9],[1]
2024-10-05T20:09:17+02:00,[6],[1]
2024-10-05T20:08:25+02:00,[6],[1]
2024-10-05T19:36:28+02:00,[11],[1]
2024-10-05T19:34:37+02:00,[5],[1]
2024-10-05T19:32:44+02:00,[7],[1]
2024-10-05T19:32:03+02:00,[7],[1]
2024-10-05T19:31:56+02:00,[5],[1]
2024-10-05T19:30:54+02:00,[10],[1]
