from,to,"from (manual)","to (manual)",Timezone,"Activity type",Data,GPS,Modified
2025-02-09T17:46:00-08:00,2025-02-09T18:09:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":33.340003967285,""effduration"":1260,""intensity"":0,""hr_average"":115,""hr_min"":112,""hr_max"":119,""hr_zone_0"":0,""hr_zone_1"":669,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":1696,""distance"":1138.7099609375,""metcumul"":69.67000579834}",,2025-03-02T01:33:30-08:00
2025-02-11T11:50:00-08:00,2025-02-11T11:55:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":9.6300001144409,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":456,""distance"":303.86999511719,""metcumul"":18.940000534058}",,2025-03-02T01:33:31-08:00
2025-02-11T12:12:00-08:00,2025-02-11T12:22:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":14.059999465942,""effduration"":540,""intensity"":0,""pause_duration"":0,""steps"":800,""distance"":557.48999023438,""metcumul"":29.209999084473}",,2025-03-02T01:33:32-08:00
2025-02-11T14:12:00-08:00,2025-02-11T14:20:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":14.60000038147,""effduration"":480,""intensity"":0,""pause_duration"":0,""steps"":714,""distance"":505.10998535156,""metcumul"":28.760000228882}",,2025-03-02T01:33:32-08:00
2025-02-13T10:59:00-08:00,2025-02-13T11:05:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":10.029999732971,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":465,""distance"":338.75,""metcumul"":18.940000534058}",,2025-03-02T01:33:34-08:00
2025-02-13T12:00:00-08:00,2025-02-13T12:05:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":10.710000038147,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":472,""distance"":339.98999023438,""metcumul"":19.700000762939}",,2025-03-02T01:33:34-08:00
2025-02-16T14:39:00-08:00,2025-02-16T15:07:00-08:00,,,America/Los_Angeles,Cycling,"{""calories"":235.18292236328,""effduration"":1200,""intensity"":0,""hr_average"":91,""hr_min"":88,""hr_max"":95,""hr_zone_0"":0,""hr_zone_1"":1254,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":12,""distance"":8.9099998474121,""metcumul"":20.309999465942}",,2025-03-02T01:33:36-08:00
2025-02-16T20:17:00-08:00,2025-02-16T20:33:00-08:00,,,America/Los_Angeles,Cycling,"{""calories"":134.39024353027,""effduration"":720,""intensity"":0,""pause_duration"":0,""steps"":9,""distance"":6.2300000190735,""metcumul"":12.220000267029}",,2025-03-02T01:33:37-08:00
2025-02-18T11:54:00-08:00,2025-02-18T12:01:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":7.8000001907349,""effduration"":360,""intensity"":0,""pause_duration"":0,""steps"":379,""distance"":264.04998779297,""metcumul"":17.10000038147}",,2025-03-02T01:33:38-08:00
2025-02-18T12:16:00-08:00,2025-02-18T12:21:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":10.109999656677,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":503,""distance"":335.51000976562,""metcumul"":19.880001068115}",,2025-03-02T01:33:39-08:00
2025-02-19T12:16:00-08:00,2025-02-19T12:22:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":8.8599996566772,""effduration"":360,""intensity"":0,""pause_duration"":0,""steps"":557,""distance"":376.72998046875,""metcumul"":19.030002593994}",,2025-03-02T01:33:40-08:00
2025-02-19T15:56:00-08:00,2025-02-19T16:03:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":9.6999998092651,""effduration"":360,""intensity"":0,""pause_duration"":0,""steps"":497,""distance"":335.86999511719,""metcumul"":20.200000762939}",,2025-03-02T01:33:40-08:00
2025-02-19T16:33:00-08:00,2025-02-19T16:42:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":11.64999961853,""effduration"":480,""intensity"":0,""pause_duration"":0,""steps"":689,""distance"":477.19998168945,""metcumul"":24.739999771118}",,2025-03-02T01:33:40-08:00
2025-02-19T16:57:00-08:00,2025-02-19T17:04:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":8.2799997329712,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":429,""distance"":286.61001586914,""metcumul"":17.25}",,2025-03-02T01:33:41-08:00
2025-02-20T11:53:00-08:00,2025-02-20T11:58:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":5.0799999237061,""effduration"":241,""intensity"":0,""pause_duration"":0,""steps"":360,""distance"":237.79998779297,""metcumul"":11.370000839233}",,2025-03-02T01:33:42-08:00
2025-02-20T12:13:00-08:00,2025-02-20T12:19:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":9.5900001525879,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":490,""distance"":331.86999511719,""metcumul"":19.159999847412}",,2025-03-02T01:33:42-08:00
2025-02-20T14:00:00-08:00,2025-02-20T14:06:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":8.7200002670288,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":412,""distance"":301.62997436523,""metcumul"":17.039999008179}",,2025-03-02T12:56:35-08:00
2025-02-20T14:21:00-08:00,2025-02-20T14:26:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":10.949998855591,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":542,""distance"":366.82000732422,""metcumul"":21.130001068115}",,2025-03-02T12:56:36-08:00
2025-02-20T17:10:00-08:00,2025-02-20T17:16:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":6.0199995040894,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":275,""distance"":182.19000244141,""metcumul"":13.570000648499}",,2025-03-02T14:00:29-08:00
2025-02-21T20:34:00-08:00,2025-02-21T20:50:00-08:00,,,America/Los_Angeles,Cycling,"{""calories"":134.39024353027,""effduration"":600,""intensity"":0,""pause_duration"":0,""steps"":22,""distance"":14.549999237061,""metcumul"":10.690000534058}",,2025-03-02T14:00:30-08:00
2025-02-22T17:39:00-08:00,2025-02-22T18:19:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":74.120002746582,""effduration"":2340,""intensity"":0,""hr_average"":107,""hr_min"":106,""hr_max"":109,""hr_zone_0"":0,""hr_zone_1"":1242,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":3794,""distance"":2556.7697753906,""metcumul"":147.31999206543}",,2025-03-02T14:00:31-08:00
2025-02-25T17:26:00-08:00,2025-02-25T17:47:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":38.027297973633,""effduration"":1422,""intensity"":0,""pause_duration"":0,""steps"":1842,""distance"":1290.6389160156,""metcumul"":66.027206420898}",,2025-03-06T03:31:47-08:00
2025-02-26T09:01:00-08:00,2025-02-26T09:20:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":34.209999084473,""effduration"":1140,""intensity"":0,""pause_duration"":0,""steps"":1569,""distance"":1095.6500244141,""metcumul"":67.029998779297}",,2025-03-06T03:31:48-08:00
2025-02-26T12:27:00-08:00,2025-02-26T12:39:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":21.209999084473,""effduration"":720,""intensity"":0,""pause_duration"":0,""steps"":994,""distance"":707,""metcumul"":41.529998779297}",,2025-03-06T03:31:48-08:00
2025-02-26T12:59:00-08:00,2025-02-26T13:07:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":18.239999771118,""effduration"":480,""intensity"":0,""pause_duration"":0,""steps"":806,""distance"":584.98004150391,""metcumul"":33.080001831055}",,2025-03-06T03:31:48-08:00
2025-02-26T19:55:00-08:00,2025-02-26T20:29:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":48.890003204346,""effduration"":2040,""intensity"":0,""pause_duration"":0,""steps"":2663,""distance"":1791.509765625,""metcumul"":104.99001312256}",,2025-03-06T03:31:49-08:00
2025-02-26T20:45:00-08:00,2025-02-26T20:52:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":10.75,""effduration"":360,""intensity"":0,""pause_duration"":0,""steps"":526,""distance"":359.13000488281,""metcumul"":21.620000839233}",,2025-03-06T03:31:49-08:00
2025-02-27T08:55:00-08:00,2025-02-27T09:17:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":37.439994812012,""effduration"":1140,""intensity"":0,""pause_duration"":0,""steps"":1761,""distance"":1237.830078125,""metcumul"":71.860000610352}",,2025-03-06T03:31:49-08:00
2025-02-27T18:11:00-08:00,2025-02-27T18:22:00-08:00,,,America/Los_Angeles,Cycling,"{""calories"":92.239326477051,""effduration"":660,""intensity"":0,""pause_duration"":0,""steps"":76,""distance"":55.520004272461,""metcumul"":13.029999732971}",,2025-03-06T09:32:26-08:00
